TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
População,"Jovens, adultos e idosos",q49,Qual é a população de crianças e adolescentes em Salvador?,q49.csv,codigo_v00.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_populacao_sexo_faixa_etaria,,anual,barra lado a lado,População de crianças e adolescentes em Salvador
População,"Jovens, adultos e idosos",q50,Qual é a população de adultos em Salvador?,q50.csv,codigo_v00.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_populacao_sexo_faixa_etaria,,anual,barra lado a lado,População de adultos em Salvador
População,"Jovens, adultos e idosos",q51,Qual é a população de idosos em Salvador?,q51.csv,codigo_v00.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_populacao_sexo_faixa_etaria,,anual,barra lado a lado,População de idosos em Salvador
